"Estimated areas, yield, production, average farm price and total farm value of principal field crops, in metric and imperial units c 1 2 3 4 5 6 7 8 9"
"Frequency: Annual"
"Table: 32-10-0359-01 (formerly CANSIM 001-0017)"
"Release date: 2026-03-05"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

"Geography","Alberta"
"Harvest disposition","Average yield (bushels per acre)"
"Type of crop","Wheat, all 10 11 12"
"Reference period"
"1908","25.2"
"1909","24.9"
"1910","10.3"
"1911","22.3"
"1912","21.6"
"1913","22.7"
"1914","21.0"
"1915","31.1"
"1916","25.0"
"1917","18.3"
"1918","6.1"
"1919","8.1"
"1920","20.5"
"1921","10.4"
"1922","11.3"
"1923","28.0"
"1924","11.0"
"1925","18.3"
"1926","18.5"
"1927","27.4"
"1928","25.5"
"1929","12.1"
"1930","20.5"
"1931","17.7"
"1932","20.4"
"1933","13.0"
"1934","15.0"
"1935","13.2"
"1936","8.8"
"1937","9.7"
"1938","18.6"
"1939","19.3"
"1940","20.8"
"1941","14.9"
"1942","26.8"
"1943","17.1"
"1944","15.5"
"1945","12.9"
"1946","18.2"
"1947","15.8"
"1948","18.4"
"1949","13.0"
"1950","15.6"
"1951","23.7"
"1952","26.9"
"1953","25.7"
"1954","17.9"
"1955","23.3"
"1956","26.5"
"1957","19.1"
"1958","20.4"
"1959","20.9"
"1960","19.8"
"1961","15.8"
"1962","19.3"
"1963","25.1"
"1964","22.3"
"1965","25.3"
"1966","29.4"
"1967","22.7"
"1968","25.7"
"1969","26.4"
"1970","27.7"
"1971","26.4"
"1972","27.4"
"1973","27.0"
"1974","24.3"
"1975","30.0"
"1976","32.5"
"1977","24.8"
"1978","29.8"
"1979","28.5"
"1980","33.0"
"1981","34.1"
"1982","32.4"
"1983","32.5"
"1984","24.6"
"1985","23.7"
"1986","34.9"
"1987","29.3"
"1988","27.7"
"1989","31.1"
"1990","33.1"
"1991","37.0"
"1992","30.6"
"1993","39.6"
"1994","33.8"
"1995","40.3"
"1996","39.8"
"1997","37.9"
"1998","37.1"
"1999","42.4"
"2000","37.7"
"2001","33.3"
"2002","28.2"
"2003","38.6"
"2004","45.6"
"2005","47.7"
"2006","43.3"
"2007","39.3"
"2008","46.9"
"2009","40.9"
"2010","46.9"
"2011","49.1"
"2012","47.4"
"2013","58.1"
"2014","51.1"
"2015","45.4"
"2016","58.1"
"2017","52.6"
"2018","49.7"
"2019","52.3"
"2020","55.8"
"2021","34.9"
"2022","55.6"
"2023","44.9r"
"2024","48.0r"
"2025","57.0"
"2026",".."

Symbol legend:
.., not available for a specific reference period
r, revised


"Table Corrections:"
Date,Note
"","On October 11, 2019, a correction was made to the 2018 Saskatchewan and Canada total summerfallow areas in hectares only. The area in acres was correct."
"","On December 12, 2019, a correction has been made to the number for the production of dry coloured beans in hundredweight for Ontario and Canada in 2019. Both numbers have been divided by one thousand and yields have been adjusted to reflect the updated estimates."
"","On March 4, 2021, the data for 2020 canary seed production in Manitoba were revised in both imperial and metric units."
"","On September 12, 2023, the data for July 31, 2023 yield and production were restored to published values."
"","On December 13, 2016, estimates for category "Wheat, all excluding durum wheat" in 2016 were corrected for the following geographies: Maritime provinces, East and Canada."



Footnotes:
1,"Field crop surveys collect data from Quebec, Ontario, Manitoba, Saskatchewan and Alberta on three occasions during the crop year (which extends from December to the following November). However, data are collected twice a year (in the Field Crops Survey - June on seeded areas and in the Field Crops Survey - November on final crop production) for Newfoundland and Labrador, Prince Edward Island, Nova Scotia, New Brunswick and British Columbia, which represent between 2% and 4% of national totals. As of July 2014 for the Atlantic Provinces and British Columbia, July and September production estimates are calculated using the final estimates of the last three crop years. The harvested area is first estimated based on the ratio obtained from the sum of harvested areas of the last three years over the sum of the seeded areas of the last three years. This average ratio is applied to their 2014 reported seeded acreage from the June survey. This estimated harvested area is then multiplied by the average yield of the last three years to estimate production."
2,"Totals may not equal the sum of their parts due to the use of conversion factors or rounding of fractions to whole numbers."
3,"On December 13, 2016, estimates for category "Wheat, all excluding durum wheat" in 2016 were corrected for the following geographies: Maritime provinces, East and Canada."
4,"Starting in June 2018, for March, June and November occasions, the Canadian total for a given crop includes all provincial estimates, whether they are published or not based on quality and confidentiality factors. Note that overall, the estimates of the most important crops non-published in the past generally represent less than 5% of the Canadian total."
5,"Starting in July 2019, model-based data were used estimate yield and production for the province of Manitoba for the July occasion."
6,"Starting in July 2020, model-based data was used to estimate the July occasion yield and production for the provinces of Ontario, Quebec, Manitoba, Alberta, and Saskatchewan.  The July model incorporates coarse resolution satellite data from Statistics Canada's Crop Condition Assessment Program, data from Statistics Canada's field crop reporting series, and agroclimatic data.  "
7,"Starting in September 2016, model-based data was used to estimate the September survey occasion yield and production for the provinces of Ontario, Quebec, Manitoba, Alberta, and Saskatchewan.  The September model incorporates coarse resolution satellite data from Statistics Canada's Crop Condition Assessment Program, data from Statistics Canada's field crop reporting series, and agroclimatic data up until the end of August.  In September 2020, an enhanced crop yield model that incorporates crop insurance was used."
8,"Provincial estimates released for July and September occasions, based on coarse resolution remote sensing imagery, may be unavailable in some cases. Canada totals represent the sum of available estimates."
9,"Starting in December 2022 seeding intentions, previously collected in March, are now collected in December."
10,"Metric data were previously released in CANSIM table 001-0010, which is no longer available as of December 2017. Metric and imperial data are now both included in table 32-10-0359-01 (previously known as 001-0017)."
11,"Seeded area, yield and production of all wheat in Alberta include relatively small estimates of winter wheat for years 1921 to 1977."
12,"All wheat includes spring wheat, durum wheat and winter wheat seeded in the fall."



"How to cite: Statistics Canada. Table 32-10-0359-01  Estimated areas, yield, production, average farm price and total farm value of principal field crops, in metric and imperial units"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210035901